physical.condition_raw,merge.figure,physical.condition_main_analysis,physical.condition_sub_analysis,assigned.age,total.N,autism.N,rep.effect,SE,rep.metric,AorR
aBMD,Bone,Bone disease (aBMD)_SMD,,6.36,80,40,-0.73,0.2321,SMD,SMD
aBMD,Bone,Bone disease (aBMD)_SMD,,17.6,18,9,-1.88,0.5893,SMD,SMD
aBMD,Bone,Bone disease (aBMD)_SMD,,17.6,18,9,-0.72,0.4898,SMD,SMD
aBMD,Bone,Bone disease (aBMD)_SMD,,17.6,18,9,-2.35,0.6454,SMD,SMD
aBMD,Bone,Bone disease (aBMD)_SMD,,13.6,34,16,-0.86,0.3622,SMD,SMD
aBMD,Bone,Bone disease (aBMD)_SMD,,13.6,34,16,-0.53,0.3495,SMD,SMD
aBMD,Bone,Bone disease (aBMD)_SMD,,13.6,34,16,-0.74,0.3571,SMD,SMD
aBMD,Bone,Bone disease (aBMD)_SMD,,13.6,34,16,-0.55,0.3495,SMD,SMD
aBMD,Bone,Bone disease (aBMD)_SMD,,10.9,49,25,-0.97,0.3036,SMD,SMD
aBMD,Bone,Bone disease (aBMD)_SMD,,10.9,49,25,-0.74,0.2959,SMD,SMD
aBMD,Bone,Bone disease (aBMD)_SMD,,10.9,36,18,-0.8,0.3495,SMD,SMD
aBMD,Bone,Bone disease (aBMD)_SMD,,10.9,49,25,-0.63,0.2934,SMD,SMD
Allergic conjunctivitis,Allergy,Allergic disease_frequency,,13.22,,578,0.2301,0.01751,frequency,frequency
Allergic conjunctivitis,Allergy,Allergic disease_ratio,,13.22,25688,578,0.811,0.0998,OR,ratio
Allergic conjunctivitis/rhinitis,Allergy,Allergic disease_frequency,,4.8,,107,0.215,0.03971,frequency,frequency
Allergic conjunctivitis/rhinitis,Allergy,Allergic disease_frequency,,7.6,,26,0.2692,0.08699,frequency,frequency
Allergic conjunctivitis/rhinitis,Allergy,Allergic disease_ratio,,4.8,150,107,1.198,0.4571,OR,ratio
Allergic conjunctivitis/rhinitis,Allergy,Allergic disease_ratio,,7.6,69,26,1.612,0.5908,OR,ratio
Allergic disease,Allergy,Allergic disease_frequency,,3.5,,220,0.4864,0.0337,frequency,frequency
Allergic disease,Allergy,Allergic disease_frequency,,8.4,,50,0.52,0.07065,frequency,frequency
Allergic disease,Allergy,Allergic disease_frequency,,8.12,,42,0.5238,0.07706,frequency,frequency
Allergic disease,Allergy,Allergic disease_ratio,,3.5,16610,220,2.48,0.5341,OR,ratio
